task_id,condition,round_num,fingerprint_distance,af_class,wall_time_s,timestamp
HumanEval/3,C,1,0.000000,degraded,1467.38,2026-04-25T03:07:59.930515+00:00
HumanEval/3,C,2,0.075700,degraded,1467.38,2026-04-25T03:07:59.930515+00:00
HumanEval/3,C,3,0.055063,degraded,1467.38,2026-04-25T03:07:59.930515+00:00
HumanEval/3,C,FINAL,,degraded,1467.38,2026-04-25T03:07:59.930515+00:00
HumanEval/1,C,1,0.000000,correct,2418.49,2026-04-25T03:23:51.018743+00:00
HumanEval/1,C,2,0.213984,correct,2418.49,2026-04-25T03:23:51.018743+00:00
HumanEval/1,C,FINAL,,correct,2418.49,2026-04-25T03:23:51.018743+00:00
HumanEval/2,C,1,0.000000,correct,2682.21,2026-04-25T03:28:14.743799+00:00
HumanEval/2,C,2,0.000000,correct,2682.21,2026-04-25T03:28:14.743799+00:00
HumanEval/2,C,FINAL,,correct,2682.21,2026-04-25T03:28:14.743799+00:00
HumanEval/0,C,FINAL,,correct,2876.49,2026-04-25T03:31:29.019921+00:00
HumanEval/5,C,1,0.000000,degraded,2020.64,2026-04-25T03:57:31.658063+00:00
HumanEval/5,C,2,0.072850,degraded,2020.64,2026-04-25T03:57:31.658063+00:00
HumanEval/5,C,3,0.000000,degraded,2020.64,2026-04-25T03:57:31.658063+00:00
HumanEval/5,C,FINAL,,degraded,2020.64,2026-04-25T03:57:31.658063+00:00
HumanEval/8,C,FINAL,ERROR,ERROR,791.79,2026-04-25T04:10:43.453195+00:00
HumanEval/7,C,1,0.000000,correct,2942.87,2026-04-25T04:20:31.887368+00:00
HumanEval/7,C,FINAL,,correct,2942.87,2026-04-25T04:20:31.887368+00:00
HumanEval/10,C,1,0.000000,correct,1789.90,2026-04-25T04:50:21.798274+00:00
HumanEval/10,C,2,0.244554,correct,1789.90,2026-04-25T04:50:21.798274+00:00
HumanEval/10,C,FINAL,,correct,1789.90,2026-04-25T04:50:21.798274+00:00
HumanEval/4,C,FINAL,ERROR,ERROR,6260.22,2026-04-25T04:52:20.156130+00:00
HumanEval/6,C,FINAL,ERROR,ERROR,6491.29,2026-04-25T05:16:26.036455+00:00
HumanEval/9,C,1,0.000000,degraded,5239.13,2026-04-25T05:38:02.587960+00:00
HumanEval/9,C,2,0.084243,degraded,5239.13,2026-04-25T05:38:02.587960+00:00
HumanEval/9,C,3,0.100223,degraded,5239.13,2026-04-25T05:38:02.587960+00:00
HumanEval/9,C,FINAL,,degraded,5239.13,2026-04-25T05:38:02.587960+00:00
HumanEval/12,C,1,0.000000,correct,2953.22,2026-04-25T05:41:33.384560+00:00
HumanEval/12,C,2,0.425575,correct,2953.22,2026-04-25T05:41:33.384560+00:00
HumanEval/12,C,FINAL,,correct,2953.22,2026-04-25T05:41:33.384560+00:00
HumanEval/13,C,1,0.000000,degraded,4331.85,2026-04-25T06:28:37.898422+00:00
HumanEval/13,C,2,0.090855,degraded,4331.85,2026-04-25T06:28:37.898422+00:00
